"filename","signature"
"Bug's Life, A (France).z64","F1A80EB0"
"Bug's Life, A (Italy).z64","BF96D385"
"Defi au Tetris Magique (France).z64","B4866C6A"
"Donsol (World) (Aftermarket) (Unl).z64","4F403BC6"
"Duke Nukem - Zero Hour (France).z64","250E8054"
"Duke Nukem 64 (France).z64","E3B52C43"
"F-1 World Grand Prix (France).z64","83B46DA3"
"F1 Racing Championship (Brazil) (En,Fr).z64","762B13E8"
"Fighters Destiny (France).z64","20DD0280"
"Fission Failure 64 (World) (Aftermarket) (Unl).z64","62E8B936"
"Flood64 (World) (En,Fr,Es) (Aftermarket) (Unl).z64","4D5381C7"
"Freak Boy (Unknown) (Proto).z64","A6C5C10A"
"Glamorous Zombie Flakes (World) (Aftermarket) (Unl).z64","2419C40F"
"Hexen (France).z64","40945445"
"Holy Magic Century (France).z64","2A05D4E5"
"Hydro Thunder (France).z64","41BF1C68"
"Mission - Impossible (France).z64","72ED569F"
"Mission - Impossible (Italy).z64","4780CB49"
"Mission - Impossible (Spain) (Rev 1).z64","841BFA84"
"Mission - Impossible (Spain).z64","EF08CD41"
"Pokemon Puzzle League (France) (Wii Virtual Console).z64","1CC0BB7E"
"Pokemon Puzzle League (France).z64","1CC0BB7E"
"Pokemon Snap (France).z64","220CC739"
"Pokemon Snap (Italy).z64","D758DE3F"
"Pokemon Snap (Spain).z64","83666E84"
"Pokemon Stadium (France).z64","97861DCF"
"Pokemon Stadium (Italy).z64","A7DD37C5"
"Pokemon Stadium (Spain).z64","1B56EC3D"
"Pokemon Stadium 2 (France).z64","1F629185"
"Pokemon Stadium 2 (Italy).z64","E3F0CE56"
"Pokemon Stadium 2 (Spain).z64","D97D1196"
"Pyoro 64 (Unknown) (MPAL) (Aftermarket) (Unl).z64","BBD534F3"
"Pyoro 64 (Unknown) (NTSC) (Aftermarket) (Unl).z64","68BDC8CB"
"Pyoro 64 (Unknown) (PAL) (Aftermarket) (Unl).z64","1BD7122D"
"Razmoket, Les - La Chasse aux Tresors (France).z64","720871E4"
"Ronaldinho's Soccer 64 (Brazil) (Pirate).z64","DC4420C7"
"Sblobber 64 (World) (Aftermarket) (Unl).z64","59BE1A86"
"Shadow Man (Brazil).z64","314C28DE"
"Shadow Man (France).z64","3FE9580B"
