"filename","signature"
"Bug's Life, A (France)","F1A80EB0"
"Bug's Life, A (Italy)","BF96D385"
"Defi au Tetris Magique (France)","B4866C6A"
"Donsol (World) (Aftermarket) (Unl)","4F403BC6"
"Duke Nukem - Zero Hour (France)","250E8054"
"Duke Nukem 64 (France)","E3B52C43"
"F-1 World Grand Prix (France)","83B46DA3"
"F1 Racing Championship (Brazil) (En,Fr)","762B13E8"
"Fighters Destiny (France)","20DD0280"
"Fission Failure 64 (World) (Aftermarket) (Unl)","62E8B936"
"Flood64 (World) (En,Fr,Es) (Aftermarket) (Unl)","4D5381C7"
"Freak Boy (Unknown) (Proto)","A6C5C10A"
"Glamorous Zombie Flakes (World) (Aftermarket) (Unl)","2419C40F"
"Hexen (France)","40945445"
"Holy Magic Century (France)","2A05D4E5"
"Hydro Thunder (France)","41BF1C68"
"Mission - Impossible (France)","72ED569F"
"Mission - Impossible (Italy)","4780CB49"
"Mission - Impossible (Spain) (Rev 1)","841BFA84"
"Mission - Impossible (Spain)","EF08CD41"
"Pokemon Puzzle League (France)","1CC0BB7E"
"Pokemon Snap (France)","220CC739"
"Pokemon Snap (Italy)","D758DE3F"
"Pokemon Snap (Spain)","83666E84"
"Pokemon Stadium (France)","97861DCF"
"Pokemon Stadium (Italy)","A7DD37C5"
"Pokemon Stadium (Spain)","1B56EC3D"
"Pokemon Stadium 2 (France)","1F629185"
"Pokemon Stadium 2 (Italy)","E3F0CE56"
"Pokemon Stadium 2 (Spain)","D97D1196"
"Pyoro 64 (Unknown) (MPAL) (Aftermarket) (Unl)","BBD534F3"
"Pyoro 64 (Unknown) (NTSC) (Aftermarket) (Unl)","68BDC8CB"
"Pyoro 64 (Unknown) (PAL) (Aftermarket) (Unl)","1BD7122D"
"Razmoket, Les - La Chasse aux Tresors (France)","720871E4"
"Ronaldinho's Soccer 64 (Brazil) (Pirate)","DC4420C7"
"Sblobber 64 (World) (Aftermarket) (Unl)","59BE1A86"
"Shadow Man (Brazil)","314C28DE"
"Shadow Man (France)","3FE9580B"
"South Park (Brazil)","38CF7B32"
"Styx (World) (Aftermarket) (Unl)","30869CE6"
"Swoop 64, The (World) (Aftermarket) (Unl)","F61D7436"
"Tarzan (France)","90DF48C7"
"Telefoot Soccer 2000 (France)","06B608C0"
"Telelocation - Gemini (World) (64Brew Game Jam 2020) (Aftermarket) (Unl)","62B35F91"
"Tom Clancy's Rainbow Six (France)","0DCB626B"
"Top Gear Rally (Asia) (En)","C13EA5E5"
"Toy Story 2 - Buzz l'Eclair a la Rescousse! (France)","5CCCCFEE"
"Vigilante 8 (France)","82B5ED05"
"Wide-Boy64 AGB (World) (v0.00b) (Beta)","F414894D"
"Wide-Boy64 AGB (World) (v0.02c)","530AB2BE"
"Wide-Boy64 AGB (World) (v0.04c)","DB769579"
"Wide-Boy64 CGB (World) (v1.02)","1822C044"
"Wizard of the Board (World) (NTSC) (Aftermarket) (Unl)","9BD3203A"
"Wizard of the Board (World) (PAL) (Aftermarket) (Unl)","D411019A"
"007 - The World Is Not Enough (NTSC) (v2) (Beta)","58EDDA04"
"007 - The World Is Not Enough (NTSC) (v21) (Beta)","9997C2BF"
"007 - The World Is Not Enough (NTSC)","7F3A3558"
"1080 Snowboarding (Japan, USA) (En,Ja)","17C5222C"
"1080 Snowboarding (NTSC) (En,Ja) (LodgeNet)","4B2A83F3"
"2048 (World) (En,Fr,Es) (Aftermarket) (Unl)","404DEB1B"
"3D Model RGB Test Program (NTSC) (Test Program)","3F201ED8"
"40 Winks (NTSC) (Aftermarket) (Unl)","43D62A2A"
"40 Winks (NTSC) (Proto) (2000-01-10)","346ACF8D"
"AeroFighters Assault (NTSC)","CF72F441"
"AeroGauge (NTSC)","C05AC90F"
"Aidyn Chronicles - The First Mage (NTSC) (Beta) (2000-02-10)","A85996F9"
"Aidyn Chronicles - The First Mage (NTSC) (Beta) (2000-05-09)","B309E3FA"
"Aidyn Chronicles - The First Mage (NTSC) (Beta) (2000-12-05)","6D4ECA90"
"Aidyn Chronicles - The First Mage (NTSC) (Rev 1)","F035B4C4"
"Aidyn Chronicles - The First Mage (NTSC)","2E74DE9C"
"All Star Tennis 99 (NTSC)","B1EE945C"
"All-Star Baseball 2000 (NTSC)","940F1395"
"All-Star Baseball 2001 (NTSC)","7B1917C7"
"All-Star Baseball 99 (NTSC)","CBF9DD35"
"Armorines - Project S.W.A.R.M. (NTSC)","C240E949"
"Army Men - Air Combat (NTSC)","77A7E487"
"Army Men - Sarge's Heroes (NTSC)","CBDB20E0"
"Army Men - Sarge's Heroes 2 (NTSC)","BE1523CD"
"Asteroids Hyper 64 (NTSC)","A222B3A3"
"Automobili Lamborghini (NTSC)","31EB0049"
